Daur,0.001,0.004166667,0.001,0.637333333,0.631833333,2.345166667,5.349,4.980833333,86.04683333,0.001833333,0.001
Dinka,87.36523529,3.556647059,4.047470588,1.761176471,0.264117647,0.785117647,0.618529412,0.285529412,0.119823529,0.218941176,0.977411765
Dolgan,0.1322,15.3874,5.1036,0.4518,0.001,2.5352,0.0762,4.0736,26.5428,40.5062,5.19
Dolgan,0.22325,3.637,2.67375,0.138875,0.001,2.849,0.898125,5.0135,31.018875,48.9295,4.617
Dong_Guizhou,0.015,0.001,0.0108,8.4038,50.1546,6.3839,30.746,2.7129,0.9139,0.4907,0.1669
Dong_Hunan,0.114555556,0.011333333,0.024111111,6.558555556,47.06088889,7.427444444,33.55033333,2.554666667,2.112,0.502555556,0.083444444
Dongxiang,0.555,6.6055,7.2675,0.732666667,8.2845,19.56416667,31.60033333,6.359166667,11.4235,5.443666667,2.164166667
Druze,5.65505,64.387,27.092925,0.18205,0.11445,0.085925,0.03095,0.001,0.467325,0.09255,1.891
Dusun,0.216272727,0.022636364,0.001,38.391,39.68672727,0.386090909,19.22645455,1.219090909,0.179454545,0.506,0.165181818
Egyptian,20.37345455,57.09790909,19.67890909,0.129181818,0.307181818,0.203636364,0.141181818,0.272909091,0.228181818,0.238636364,1.329
Enets,0.098666667,14.491,5.300333333,0.001,0.001,2.484,0.001,1.015333333,29.50033333,38.891,8.216666667
English,1.0772,78.9488,12.87053333,0.173333333,0.025,0.001,0.001,0.026333333,0.130266667,1.3172,5.4292
Esan,94.9835,1.3465,1.0815,0.2455,0.001,0.456,0.194,0.009,0.1565,0.3575,1.1695
Eskimo_Naukan,0.061583333,0.001,0.031916667,0.21125,0.001,3.993666667,1.337666667,8.281,26.09908333,22.6785,37.30341667
Eskimo_Sireniki,0.034,0.001,0.138222222,0.046222222,0.532888889,3.887111111,1.303888889,9.131111111,27.84866667,23.24455556,33.83211111
Estonian,0.215,75.441,14.4015,0.175,0.001,0.001,0.001,0.001,0.5675,3.3185,5.8775
Even,0.06375,0.062,0.3145,0.001,0.001,1.432,0.001,8.084,41.6185,43.58575,4.837
Evenk,0.182416667,1.094833333,0.680333333,0.001,0.026458333,3.562541667,0.248458333,5.592625,39.39229167,45.49041667,3.728666667
