Altaian:ALT-741,0.376,14.237,7.342,0.001,0.001,5.579,9.63,10.174,24.868,22.035,5.758
Altaian:ALT-743,0.696,14.361,7.223,0.001,0.001,12.757,4.891,6.319,28.331,22.11,3.309
Altaian:ALT-744,1.004,17.484,7.13,0.001,0.001,6.584,7.958,7.95,23.86,21.665,6.363
Altaian:ALT-746,0.448,14.384,10.882,0.001,0.001,10.399,5.489,4.832,25.205,23.759,4.599
Altaian:ALT-753,0.287,13.939,8.565,0.001,0.833,10.599,6.458,3.879,26.894,21.41,7.135
Altaian:ALT-756,0.43,14.268,9.024,0.001,0.001,6.958,10.548,6.838,25.77,19.427,6.734
Altaian:ALT-760,0.001,9.767,10.251,0.001,0.001,7.968,6.556,11.314,27.092,21.339,5.71
Altaian:ALT-771,1.32,12.881,10.125,0.001,0.001,5.585,8.072,11.419,27.936,18.41,4.251
Altaian:ALT-774,0.093,13.121,9.553,0.001,0.001,8.003,8.783,4.903,29.529,21.614,4.399
Altaian:ALT-775,0.307,14.815,11.442,0.001,0.001,6.139,4.933,4.317,24.787,24.552,8.706
Altaian:ALT-776,0.605,14.711,11.425,0.001,0.001,5.722,5.918,6.889,24.726,23.305,6.697
Altaian:ALT-875,0.772,13.541,8.15,0.001,0.001,8.203,7.696,6.572,29.492,21.086,4.486
Altaian:ALT-876,0.1,15.207,11.497,0.001,0.001,7.712,5.979,7.289,29.057,20.538,2.619
Altaian:ALT-900,1.281,12.619,8.847,0.001,0.001,7.503,4.417,8.132,26.765,24.249,6.185
Altaian:ALT-916,0.044,17.092,9.661,0.001,0.291,9.95,8.677,5.687,22.513,19.16,6.924
Altaian:ALT-918,0.885,14.138,8.675,0.001,0.001,8.894,8.901,5.891,26.88,20.335,5.399
Altaian:ALT-935,0.26,13.204,11.148,0.001,0.001,8.066,4.373,5.948,29.861,22.339,4.798
Altaian:altai280p,0.56,14.564,9.095,0.001,0.001,9.95,6.251,5.004,27.873,22.465,4.236
Altaian:altai283p,0.113,15.468,9.726,0.001,1.767,7.488,8.619,3.872,26.665,21.487,4.795
Altaian:altai380k,0.715,13.184,10.976,0.001,0.001,7.606,6.04,7.434,25.828,23.078,5.136
Altaian:altai409k,0.387,13.96,8.936,1.917,0.001,5.716,7.922,2.494,28.707,24.643,5.317
Altaian:altai419A,0.001,15.108,11.349,0.116,0.001,5.116,6.94,10.253,26.327,19.283,5.505
Altaian:altai431k,0.565,16.188,8.188,0.001,0.001,3.806,7.253,8.253,26.596,21.215,7.934
Altaian:Altais2.SG,0.381,13.806,9.635,0.001,0.001,10.316,9.841,7.823,23.451,19.879,4.866
Altaian:GRC10047554,0.001,13.281,10.803,0.001,0.001,9.795,6.614,5.92,25.606,22.124,5.854
Altaian:GRC10047555,0.001,13.907,7.572,0.001,0.001,8.179,5.428,10.55,27.595,21.919,4.848
Altaian:GRC11049651,0.82,13.706,11.211,1.01,0.523,9.355,6.974,8.572,22.634,19.737,5.457
Altaian:GRC11049652,0.267,10.437,11.079,1.424,0.001,6.52,4.407,14.389,23.461,22.329,5.685
Altaian:GRC11049653,0.001,13.454,9.376,0.544,0.001,10.605,9.378,7.819,22.534,20.948,5.341
Altaian:GRC11049654,0.961,15.264,9.486,0.001,0.001,12.068,7.997,4.256,22.659,20.991,6.315
Altaian:GRC11049655,0.169,12.956,9.742,0.001,0.001,6.346,9.687,2.222,31.419,22.742,4.713
Altaian:GRC11049656,0.149,12.704,6.895,0.001,0.001,6.456,12.506,7.326,24.061,24.64,5.261
Altaian:GRC11049657,0.001,11.834,10.14,0.001,0.001,7.718,4.993,8.299,25.502,24.277,7.233
Altaian:GRC11049658,0.145,12.247,9.808,1.402,0.001,6.278,8.037,7.522,26.175,22.034,6.351
Altaian:GRC11049659,0.001,14.227,7.795,0.167,0.001,7.033,11.731,2.124,26.999,22.696,7.226
Altaian:GRC11049660,0.001,11.596,8.443,0.001,0.001,8.717,10.107,2.843,25.039,25.445,7.807
Altaian:GRC11049661,0.676,13.484,5.839,0.001,0.001,8.171,10.375,9.245,24.096,22.77,5.341
Altaian:GRC11051345,0.614,11.023,7.498,0.001,0.001,9.121,5.752,8.409,24.061,27.192,6.328
Altaian:GRC11051347,0.001,14.141,9.866,0.001,0.001,10.303,6.632,3.462,24.569,24.877,6.147
Altaian:GRC11051348,0.464,13.536,7.508,0.001,0.001,10.392,4.947,3.106,25.796,26.514,7.734
Altaian:GRC11051349,0.489,10.935,10.701,0.001,0.001,7.715,4.336,11.222,28.552,21.891,4.158
Altaian:GRC11051350,0.001,15.321,7.77,0.496,0.001,6.97,9.106,5.313,25.356,24.659,5.007
Altaian:S_Altaian-1.DG,0.643,12.091,8.232,0.001,0.001,8.056,7.181,9.573,28.937,20.342,4.943
Altaian_Chelkan:ALT-090,0.001,21.871,13.64,0.001,0.24,5.362,5.087,4.052,21.602,18.841,9.304
Altaian_Chelkan:ALT-093,0.001,22.801,16.069,0.001,0.001,8.322,0.511,5.515,22.184,17.37,7.225
Altaian_Chelkan:ALT-167,0.001,20.337,14.195,0.232,0.001,6.757,4.869,1.671,23.52,20.431,7.986
Altaian_Chelkan:ALT-168,0.456,20.438,13.602,0.001,0.001,3.938,8.393,1.392,23.8,18.322,9.657
Altaian_Chelkan:ALT-952,0.001,23.837,15.445,0.001,0.001,7.822,1.796,3.867,21.749,17.916,7.565
Altaian_Chelkan:ALT-966,0.001,23.264,15.734,0.101,0.001,7.465,0.131,3.695,24.341,18.207,7.061
Ami:NA13608,0.001,0.001,0.001,25.111,42.732,0.001,29.287,2.863,0.001,0.001,0.001
Ami:NA13609,0.001,0.001,0.001,28.654,41.908,0.001,29.43,0.001,0.001,0.001,0.001
Ami:NA13610,0.001,0.001,0.001,27.4,40.37,0.001,28.506,3.717,0.001,0.001,0.001
Ami:NA13611,0.001,0.001,0.001,22.101,44.53,0.001,29.591,3.772,0.001,0.001,0.001
Ami:NA13612,0.001,0.001,0.001,24.156,41.997,0.001,27.678,6.161,0.001,0.001,0.001
